,timestamp,tvl usd value,liqw,date
0,1690210800,4147259.186951779612319223960002222,884414180472,2023-07-24 18:00:00
1,1690207200,4154094.161692880242762201915332929,878566887752,2023-07-24 17:00:00
2,1690203600,4152900.513014267395173475777705178,1029303639052,2023-07-24 16:00:00
3,1690200000,4162585.08827713355437682962496835,1028832457918,2023-07-24 15:00:00
4,1690196400,4117121.644018837417886250001767447,967377520469,2023-07-24 14:00:00
5,1690192800,4191024.149165392746135957092452808,973016630970,2023-07-24 13:00:00
6,1690189200,4186346.544112221949391464328499453,973016630970,2023-07-24 12:00:00
7,1690185600,4233290.660970975584705470227771321,1224094706466,2023-07-24 11:00:00
8,1690182000,4233376.505246018100559113445848886,1224094601927,2023-07-24 10:00:00
9,1690178400,4231195.341697062888163073875677724,1224094601927,2023-07-24 09:00:00
10,1690174800,4230969.079570559761468329339601542,1223070851455,2023-07-24 08:00:00
11,1690171200,4232067.782704490826220017912395258,1223070851455,2023-07-24 07:00:00
12,1690167600,4234095.001002233042666427331917181,1224279329646,2023-07-24 06:00:00
13,1690164000,4237436.582829441715131866099997656,1222944318729,2023-07-24 05:00:00
14,1690160400,4245792.068050970269306398088618381,1738897016467,2023-07-24 04:00:00
15,1690156800,4248576.00943329915599850098955514,1738897016467,2023-07-24 03:00:00
16,1690153200,4248738.533655275441606860650789663,1738897016467,2023-07-24 02:00:00
17,1690149600,4249485.527196984118453749442556452,1744198361242,2023-07-24 01:00:00
18,1690146000,4249241.380924405478600400953995269,1724634776024,2023-07-24 00:00:00
19,1690142400,4257026.052532289594738008149243609,1713760545515,2023-07-23 23:00:00
20,1690138800,4254752.930586987053446130685526659,1537163353063,2023-07-23 22:00:00
21,1690135200,4258083.530017253652392929774713013,1537163353063,2023-07-23 21:00:00
22,1690131600,4249252.916007327219487621241867022,1544748718490,2023-07-23 20:00:00
23,1690128000,4238328.577409897416351570352381687,1543221758679,2023-07-23 19:00:00
24,1690120800,4236880.760209621603676688995133488,1544100599583,2023-07-23 17:00:00
25,1690117200,4234803.580174313654296814063177031,1543642155653,2023-07-23 16:00:00
26,1690113600,4234680.699573908732670601652565852,1542109437460,2023-07-23 15:00:00
27,1690110000,4234459.750487325298961658942018136,1543642151825,2023-07-23 14:00:00
28,1690106400,4234653.30854811284564549350222371,1543242024504,2023-07-23 13:00:00
29,1690102800,4233898.352732351187214757058432533,1541709310139,2023-07-23 12:00:00
30,1690099200,4234215.981980897019272330193488514,1543081797578,2023-07-23 11:00:00
31,1690095600,4234518.59594687661720097313007948,1541549083194,2023-07-23 10:00:00
32,1690092000,4234296.421940557546890899066340674,1541481466427,2023-07-23 09:00:00
33,1690088400,4234099.962244934121740260067421177,1541481466427,2023-07-23 08:00:00
34,1690084800,4230189.49246661895533108367018137,1564075080898,2023-07-23 07:00:00
35,1690081200,4228614.090391028006944211595449486,1564061644732,2023-07-23 06:00:00
36,1690077600,4231369.431924716389383184735044516,1564061644745,2023-07-23 05:00:00
37,1690074000,4228750.246377268670596183582825041,1560658258855,2023-07-23 04:00:00
38,1690070400,4227043.535473267083765976374213594,1560658258855,2023-07-23 03:00:00
39,1690066800,4223185.015362558740335527638228102,1203186747674,2023-07-23 02:00:00
40,1690063200,4252705.187007082129919401152918449,1544513174493,2023-07-23 01:00:00
41,1690059600,4252700.704163630313515458917948698,1544441620455,2023-07-23 00:00:00
