['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000']
[28, '2023-07-20', '10:37:07', '1689849427.354425', 3.293826e-05, 0.3408975199239421, 0.31505541518987457, 0.40029695100464835]
[29, '2023-07-20', '11:14:06', '1689851646.176876', 3.303699e-05, 0.04217672569076569, 0.2396159874185031, 0.3576326714881475]
[30, '2023-07-20', '11:40:37', '1689853237.575295', 3.304836e-05, 0.04764803257516803, 0.20528248529791426, 0.323339785952129]
[31, '2023-07-20', '12:17:26', '1689855446.970511', 3.303049e-05, 0.10169454289088264, 0.3935265823644585, 0.4294287716849823]
[32, '2023-07-20', '12:44:18', '1689857058.471394', 3.308714e-05, 0.12135474221088316, 0.22269330925500697, 0.2586570737754528]
[33, '2023-07-20', '13:20:36', '1689859236.865557', 3.313684e-05, -0.028672388248622838, 0.04143879582284171, 0.15952437993740887]
[34, '2023-07-20', '13:48:00', '1689860880.167319', 3.307078e-05, 0.16989071876518835, 0.2407113442356632, 0.35856151864651054]
[35, '2023-07-20', '14:23:38', '1689863018.627811', 3.3204240000000006e-05, -0.23298234273119078, 1.7559909727651615, 1.0802025963939315]
[36, '2023-07-20', '14:51:52', '1689864712.641309', 3.36442e-05, -0.0744450215820649, 0.45424655061842145, -0.23049609948617444]
[37, '2023-07-20', '15:26:24', '1689866784.511339', 3.351894e-05, 0.29814000000868646, 0.4956397083958848, 0.6082204238739308]
[38, '2023-07-20', '15:55:39', '1689868539.483326', 3.358418e-05, -0.06909808083730695, 0.30196817625838435, 0.41476801459288026]
[39, '2023-07-20', '16:59:37', '1689872377.997273', 3.367257e-05, 0.029560134007297734, 0.1936010402595798, 0.290378431455693]
[40, '2023-07-20', '17:31:36', '1689874296.460649', 3.367083e-05, 0.03472601725786717, 0.19875844684274568, 0.1499670787699614]
[41, '2023-07-20', '18:03:35', '1689876215.435969', 3.363144e-05, 0.16530113409618252, 0.2879223805873323, 0.2667771721584131]
[42, '2023-07-20', '18:34:12', '1689878052.864706', 3.368547e-05, 0.004913449842234741, 0.12773169134605666, 0.3904993775037582]
[43, '2023-07-20', '19:07:12', '1689880032.070737', 3.368802e-05, 0.09880213113967784, 0.31416141455304114, 0.38295890896976914]
[44, '2023-07-20', '19:36:46', '1689881806.342437', 3.364628e-05, 0.22258132620801518, 0.4376737759965579, 0.4343178158322445]
[45, '2023-07-20', '20:10:28', '1689883828.583441', 3.363695e-05, 0.26971128191192406, 0.40337728483626734, 0.46192704379976135]
[46, '2023-07-20', '20:39:26', '1689885566.111306', 3.370461e-05, 0.06910595548767162, 0.20304082469618834, 0.27668940518914553]
[47, '2023-07-20', '21:13:06', '1689887586.58425', 3.361332e-05, -0.06764511983557497, 0.2578024763321878, 0.546793139491399]
[48, '2023-07-20', '21:42:05', '1689889325.115295', 3.3551169999999996e-05, 0.11737689358643877, 0.4422227471086586, 0.2886702321712704]
[49, '2023-07-20', '22:15:45', '1689891345.865712', 3.352806e-05, 0.1376827492325674, 0.31251856519180876, 0.3573512597161965]
[50, '2023-07-21', '01:52:51', '1689904371.830109', 3.350028e-05, 0.15739116912799034, 0.38991832429601914, 0.37152258987401865]
[51, '2023-07-21', '02:26:32', '1689906392.609991', 3.343993e-05, 0.18624855187673006, 0.3606784131422671, 0.5510010483138075]
[52, '2023-07-21', '02:55:34', '1689908134.912095', 3.347538e-05, 0.08043500834251915, 0.25504978442641857, 0.3237968400009663]
[53, '2023-07-21', '03:29:24', '1689910164.662616', 3.345909e-05, 0.15529884033402652, 0.3573253416345068, 0.3723019010182469]
[54, '2023-07-21', '03:58:17', '1689911897.855338', 3.346837e-05, 0.12760655023404865, 0.32968908431760724, 0.5613074071085578]
[55, '2023-07-21', '04:32:11', '1689913931.025209', 3.351739e-05, 0.03245142045858529, 0.2288081601949017, 0.4156628862996996]
[56, '2023-07-21', '05:01:00', '1689915660.838522', 3.3490850000000005e-05, 0.11160850098606545, 0.30780976000407634, 0.5071404679403599]
[57, '2023-07-21', '05:34:52', '1689917692.782721', 3.353996e-05, 0.17483888872425268, 0.3387947194200933, 0.36124705730375695]
[58, '2023-07-21', '06:03:38', '1689919418.362598', 3.3559360000000007e-05, 0.11709856567202337, 0.281149230801617, 0.3412294073279867]
[59, '2023-07-21', '06:37:28', '1689921448.752501', 3.353506e-05, 0.14031548457201382, 0.30244989650014986, 0.41339133548758866]
[60, '2023-07-21', '07:06:13', '1689923173.963559', 3.353909e-05, 0.12831507280601784, 0.2904689688704707, 0.5457855749959037]
[61, '2023-07-21', '07:40:03', '1689925203.187424', 3.3602769999999994e-05, 0.07796131216274205, 0.24004674829187422, 0.356953845375827]
[62, '2023-07-21', '08:08:45', '1689926925.577214', 3.360958e-05, 0.05771092555876578, 0.21982921022446078, 0.2664723641113511]
[63, '2023-07-21', '08:42:40', '1689928960.168841', 3.357292e-05, 0.14320010215975287, 0.2810069682543741, 0.37525774979995674]
[64, '2023-07-21', '09:11:31', '1689930691.795297', 3.358588e-05, 0.10465284065625724, 0.24251290370200707, 0.3503058569084061]
[65, '2023-07-21', '09:45:21', '1689932721.025629', 3.3570370000000004e-05, 0.1917350046453805, 0.37139070627566184, 0.39632420617181197]
[66, '2023-07-21', '10:14:48', '1689934488.259313', 3.361247e-05, 0.06656724640190248, 0.2464482510311683, 0.30297373702980224]
[67, '2023-07-21', '10:47:57', '1689936477.816722', 3.357949e-05, 0.14166122656463642, 0.30759833314802165, 0.4007948113558797]
[68, '2023-07-21', '11:18:21', '1689938301.9483', 3.3586860000000006e-05, 0.11974439707256579, 0.2857179234013216, 0.44453266015437976]
[69, '2023-07-21', '12:21:35', '1689942095.56054', 3.356974e-05, 0.12505974543182674, 0.3130217631647838, 0.49527838633594]
[70, '2023-07-21', '12:53:10', '1689943990.076411', 3.350596e-05, 0.3148146761949562, 0.27763912841416527, 0.3797030594865163]
[71, '2023-07-21', '13:24:44', '1689945884.511325', 3.349558e-05, 0.12883827642347967, 0.3085326800642889, 0.6112283340692812]
[72, '2023-07-21', '13:55:53', '1689947753.828322', 3.35799e-05, -0.12257209940915459, 0.19220621890038103, 0.3610323014324024]
[73, '2023-07-21', '14:27:53', '1689949673.000121', 3.356829e-05, 0.11939390277251505, 0.22671401927496504, 0.24022082810826362]
[74, '2023-07-21', '14:58:32', '1689951512.319326', 3.3524e-05, 0.25117636902403717, 0.2640396794656681, 0.371843875321062]
[75, '2023-07-21', '15:30:41', '1689953441.719846', 3.352135e-05, 0.09436648860337016, 0.27192359232959973, 0.386233555092943]
[76, '2023-07-21', '16:01:03', '1689955263.42333', 3.3499750000000004e-05, 0.1587422277620334, 0.41460562874344475, 0.4504212251959956]
[77, '2023-07-21', '16:33:21', '1689957201.807265', 3.355228e-05, 0.05396361755140333, 0.25844861962183074, 0.3450027490683141]
[78, '2023-07-21', '17:03:41', '1689959021.091357', 3.3536360000000004e-05, 0.10138635303191279, 0.09712364248935046, 0.39228739131122836]
[79, '2023-07-21', '17:35:57', '1689960957.290172', 3.347569e-05, 0.08884582273819319, 0.2778560627225062, 0.021789175969217922]
[80, '2023-07-21', '18:06:33', '1689962793.399333', 3.336774e-05, 0.411032134459802, 0.32572068578352287, 0.3441917271475461]
[81, '2023-07-21', '18:38:38', '1689964718.628356', 3.331962e-05, 0.15306182779312394, 0.46946210550807166, 0.7586242823706186]
[82, '2023-07-21', '19:09:52', '1689966592.027295', 3.347295e-05, -0.30641313110329804, 0.36682553051684863, 0.30193599664634974]
[83, '2023-07-21', '19:41:23', '1689968483.199283', 3.34982e-05, 0.1228447684817695, 0.29166819734621185, 0.4804954888632551]
[84, '2023-07-21', '20:13:14', '1689970394.867314', 3.351053e-05, 0.08608203723041186, 0.25796748058454, 0.4438644015026654]
[85, '2023-07-21', '20:44:07', '1689972247.897552', 3.3501459999999995e-05, 0.10014836777556013, 0.28496377801556605, 0.33819063558595985]
[86, '2023-07-21', '21:16:47', '1689974207.615352', 3.348385e-05, 0.15266059820500288, 0.2973477284392061, 0.3905777393989496]
[87, '2023-07-21', '21:47:44', '1689976064.718728', 3.348675e-05, 0.07910898079690298, 0.288712589660733, 0.36045759513592657]
[88, '2023-07-21', '22:20:38', '1689978038.987309', 3.345478e-05, 0.17450405156023407, 0.284455996163544, 0.4555840606986692]
[89, '2023-07-22', '01:58:58', '1689991138.722094', 3.342142e-05, 0.14366332068134113, 0.3381075404953151, 0.4569667044071082]
[90, '2023-07-22', '02:36:08', '1689993368.843297', 3.343408e-05, 0.10583784162150778, 0.2731435226341006, 0.41925990435125016]
[91, '2023-07-22', '03:02:00', '1689994920.159291', 3.3424669999999997e-05, 0.12861827952191618, 0.3012115813171192, 0.45364310904858485]
[92, '2023-07-22', '03:40:35', '1689997235.79531', 3.3443939999999996e-05, 0.07104040288906788, 0.31181853799671444, 0.3962526158204156]
[93, '2023-07-22', '04:05:01', '1689998701.507347', 3.3450550000000005e-05, 0.15457131570082083, 0.29211574940588036, 0.38196796984196624]
[94, '2023-07-22', '04:45:27', '1690001127.840619', 3.343704e-05, 0.19489686315893096, 0.37183307682171574, 0.42220167639470674]
[95, '2023-07-22', '05:08:10', '1690002490.833387', 3.347016e-05, 0.09114318755477768, 0.27314955434199817, 0.41728093774756303]
[96, '2023-07-22', '05:50:38', '1690005038.735326', 3.349014e-05, 0.031502631336564946, 0.2826566945611262, 0.35783506934225784]
[97, '2023-07-22', '06:11:26', '1690006286.563299', 3.3500889999999996e-05, 0.08648761058238108, 0.2506484246484604, 0.3590249529251679]
[98, '2023-07-22', '06:55:27', '1690008927.487357', 3.3505470000000004e-05, 0.07282815596060743, 0.2243714106319601, 0.34540275764268813]
[99, '2023-07-22', '07:14:37', '1690010077.406794', 3.349576e-05, 0.08411894060249381, 0.25328672964114674, 0.17071418965738872]
[100, '2023-07-22', '07:59:44', '1690012784.160336', 3.340574e-05, 0.35264330347608563, 0.3773335526047106, 0.43900582742429606]
[101, '2023-07-22', '08:17:57', '1690013877.523914', 3.341213e-05, 0.06939365818172405, 0.35827728147889104, 0.43710835778412616]
[102, '2023-07-22', '09:03:50', '1690016630.75133', 3.341279e-05, 0.06741969841962714, 0.3287548994162961, 0.4351416616027137]
[103, '2023-07-22', '09:21:29', '1690017689.995264', 3.341311e-05, 0.11735432371993681, 0.327800330868385, 0.4411020029174324]
[104, '2023-07-22', '10:07:30', '1690020450.804922', 3.3465149999999996e-05, -0.038210150254286646, 0.32558658319250355, 0.2860417570508389]
[105, '2023-07-22', '10:24:57', '1690021497.44723', 3.348259e-05, 0.08680197782271648, 0.2736423435883353, 0.38361381510674164]
[106, '2023-07-22', '11:28:00', '1690025280.319049', 3.3477390000000005e-05, 0.13286824475798653, 0.3144784441883388, 0.39908469738199415]
[107, '2023-07-22', '12:13:57', '1690028037.151352', 3.347476e-05, 0.14071385507936895, 0.3223097871243539, 0.4119940471441481]
[108, '2023-07-22', '12:30:54', '1690029054.971384', 3.348747e-05, 0.10606500674452946, 0.27964040819516356, 0.44970178786530823]
[109, '2023-07-22', '13:16:41', '1690031801.904226', 3.3522209999999996e-05, 0.002434744390711785, 0.1761902134740012, 0.3464280153202566]
[110, '2023-07-22', '13:33:38', '1690032818.17533', 3.352104e-05, 0.06365676007838772, 0.2312513971228043, 0.3182552217012784]
[111, '2023-07-22', '14:19:18', '1690035558.297906', 3.3488009999999996e-05, 0.16212916478943384, 0.3295586622420785, 0.4164767574897752]
[112, '2023-07-22', '14:36:03', '1690036563.212548', 3.350006e-05, 0.082204460124359, 0.26823168295499045, 0.349729780581427]
[113, '2023-07-22', '15:21:34', '1690039294.594544', 3.3495110000000005e-05, 0.09696840645526095, 0.2829681417305494, 0.36445419712234184]
[114, '2023-07-22', '15:38:19', '1690040299.54062', 3.350925e-05, 0.023806263794625693, 0.21794662947945653, 0.2789455640021572]
[115, '2023-07-22', '16:23:54', '1690043034.687371', 3.3510299999999997e-05, 0.02067354660688636, 0.21481999560853637, 0.2758208415103809]
[116, '2023-07-22', '16:40:49', '1690044049.299136', 3.348894e-05, 0.10557525358581188, 0.2762172679803854, 0.3798907580109301]
[117, '2023-07-22', '17:26:14', '1690046774.848659', 3.34808e-05, 0.12985612414892955, 0.30045666138724414, 0.40410495198749175]
[118, '2023-07-22', '17:43:05', '1690047785.727308', 3.350105e-05, 0.2165964705970964, 0.33797427585975015, 0.5462229038624429]
[119, '2023-07-22', '18:28:32', '1690050512.191326', 3.3555509999999995e-05, 0.05438650535090517, 0.17596162488503353, 0.3845487861659791]
[120, '2023-07-22', '18:45:28', '1690051528.095341', 3.355513e-05, 0.07342512546090063, 0.2383386197592614, 0.2542535138752413]
[121, '2023-07-22', '19:30:56', '1690054256.671351', 3.3535790000000004e-05, 0.13101929833621284, 0.29583774228071036, 0.311743463609929]
[122, '2023-07-22', '19:47:43', '1690055263.711295', 3.353626e-05, 0.06941391207362813, 0.23242116572350824, 0.3509356545035871]
[123, '2023-07-22', '20:33:22', '1690058002.851254', 3.352696e-05, 0.09712584091177234, 0.2600878907297499, 0.37856951404583583]
[124, '2023-07-22', '20:50:10', '1690059010.303328', 3.354301e-05, 0.06601903221738326, 0.22944246983986716, 0.36166539210948656]
[125, '2023-07-22', '21:35:46', '1690061746.323743', 3.354504e-05, 0.05997109610893858, 0.2234044240059916, 0.3556353483163406]
[126, '2023-07-22', '21:52:34', '1690062754.111327', 3.3544820000000006e-05, 0.08744874729657681, 0.24366563319054535, 0.38514022686371163]
[127, '2023-07-22', '22:38:03', '1690065483.312507', 3.356933e-05, 0.014446220193917725, 0.17077724817819728, 0.31235521227610263]
[128, '2023-07-23', '02:01:42', '1690077702.879337', 3.352769e-05, 0.11862304181477157, 0.47363180665108473, 0.44314661339682004]
[129, '2023-07-23', '02:47:07', '1690080427.617319', 3.3501330000000006e-05, 0.19715135965049058, 0.5518810109826688, 0.5214197856693659]
[130, '2023-07-23', '03:03:56', '1690081436.287284', 3.349945e-05, 0.14504126173004295, 0.4025585076231124, 0.5592384961491064]
[131, '2023-07-23', '03:49:28', '1690084168.895358', 3.351867e-05, 0.08775040152337965, 0.3454153955575947, 0.5021852777797449]
[132, '2023-07-23', '04:06:21', '1690085181.353131', 3.352037e-05, 0.13303253448745522, 0.3795319620540738, 0.45861366167204665]
[133, '2023-07-23', '04:51:51', '1690087911.205829', 3.347162e-05, 0.27827301554252415, 0.5244139492412643, 0.6033806372153947]
[134, '2023-07-23', '05:09:02', '1690088942.945476', 3.346056e-05, -0.07947960307264168, 0.17031283151149523, 0.39477075106486836]
[135, '2023-07-23', '05:54:11', '1690091651.168732', 3.3423689999999996e-05, 0.03079740403558162, 0.2803145937624123, 0.5045251844159111]
[136, '2023-07-23', '06:11:54', '1690092714.675303', 3.344466e-05, 0.19050988768609045, 0.4034927952309886, 0.4850225917164579]
[137, '2023-07-23', '06:56:33', '1690095393.816247', 3.344604e-05, 0.1863915292888123, 0.39938322497543766, 0.4809163855590697]
[138, '2023-07-23', '07:14:46', '1690096486.703898', 3.34641e-05, 0.11401904090223525, 0.32543867435946083, 0.4345943776139336]
[139, '2023-07-23', '07:58:49', '1690099129.879418', 3.346533e-05, 0.11034765106715838, 0.32177505542361473, 0.43093477078404874]
[140, '2023-07-23', '08:17:41', '1690100261.295082', 3.346487e-05, 0.0853581580169731, 0.2966119536898617, 0.33280187612486145]
[141, '2023-07-23', '09:01:04', '1690102864.927342', 3.343093e-05, 0.18669137533163394, 0.3977309178541333, 0.4338841365467516]
[142, '2023-07-23', '09:20:38', '1690104038.034538', 3.3432509999999996e-05, 0.14734075685156256, 0.32751609672124005, 0.49285702775709694]
