['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000']
[204, '2023-07-24', '21:37:47', '1690234667.901571', 3.431726e-05, 0.2054280577462606, 0.49887618830629776, 0.519476476152164]
[205, '2023-07-24', '21:58:10', '1690235890.314656', 3.4312719999999996e-05, 0.1444470247228935, 0.3246988718799173, 0.5326372464700313]
[206, '2023-07-25', '01:48:13', '1690249693.867697', 3.4395259999999996e-05, 0.14542397560882137, 0.339318368626067, 0.4776037759880438]
[207, '2023-07-25', '02:08:31', '1690250911.384054', 3.440292e-05, -0.17366951147194243, 0.2604040696621581, 0.45543963025761514]
[208, '2023-07-25', '02:50:47', '1690253447.512615', 3.431414e-05, 0.08483814948324664, 0.5177915625463498, 0.5273295867682464]
[209, '2023-07-25', '03:11:06', '1690254666.175315', 3.433488e-05, 0.19915649840224603, 0.3917270397004273, 0.46720675739321393]
[210, '2023-07-25', '03:53:24', '1690257204.456407', 3.437629e-05, 0.07879047617059598, 0.27159326951438345, 0.45541994768333893]
[211, '2023-07-25', '04:13:39', '1690258419.72809', 3.4375749999999994e-05, 0.2036735441242854, 0.4071631388307537, 0.45698364385964396]
[212, '2023-07-25', '04:55:57', '1690260957.887351', 3.4396330000000003e-05, 0.1439276942602845, 0.34753911367917567, 0.43314380024082766]
[213, '2023-07-25', '05:16:13', '1690262173.105063', 3.437751e-05, 0.01290735482996297, 0.21836823890586743, 0.4876219446730943]
[214, '2023-07-25', '05:58:37', '1690264717.347846', 3.435051e-05, 0.09143693714757717, 0.29673645282099415, 0.458470946930845]
[215, '2023-07-25', '06:18:55', '1690265935.167327', 3.4352059999999996e-05, 0.10654430336812482, 0.33898206346768234, 0.45397932890153925]
[216, '2023-07-25', '07:01:16', '1690268476.37766', 3.435105e-05, 0.10948131472213163, 0.3419122408170381, 0.4467683980589783]
[217, '2023-07-25', '07:21:37', '1690269697.343364', 3.43437e-05, 0.1775688678625471, 0.3359134772360335, 0.46806953011387975]
[218, '2023-07-25', '08:03:55', '1690272235.999372', 3.435033e-05, 0.15829829659602979, 0.31667347415991287, 0.5226952664719562]
[219, '2023-07-25', '08:24:16', '1690273456.150516', 3.4353389999999995e-05, -0.05851695137995705, 0.23511609295425728, 0.5138336179089151]
[220, '2023-07-25', '09:06:32', '1690275992.112558', 3.430238e-05, 0.09005601186150614, 0.3832530520170536, 0.4760194748243265]
[221, '2023-07-25', '09:26:55', '1690277215.372963', 3.4286079999999995e-05, 0.13715308365506473, 0.2065224778564385, 0.5233118458656492]
[222, '2023-07-25', '10:09:26', '1690279766.68733', 3.430184e-05, 0.09124995132258107, 0.16065123198202969, 0.3939327699060726]
[223, '2023-07-25', '10:29:35', '1690280975.119724', 3.429716e-05, 0.16148397820090565, 0.3107575350834395, 0.40752260632991977]
[224, '2023-07-25', '11:12:24', '1690283544.479402', 3.430633e-05, 0.13479024636072268, 0.28410371437630033, 0.5147385270210094]
[225, '2023-07-25', '11:32:23', '1690284743.085314', 3.433536e-05, 0.17411359292817963, 0.3414399693300396, 0.4305541464544973]
[226, '2023-07-25', '12:15:37', '1690287337.663312', 3.4346799999999994e-05, 0.14085318323692775, 0.30823531014632977, 0.4281117495718263]
[227, '2023-07-25', '12:35:02', '1690288502.419047', 3.432692e-05, 0.18498344579489867, 0.3701268426898707, 0.48574416768408923]
[228, '2023-07-25', '13:18:58', '1690291138.574061', 3.436029e-05, 0.08795093887572136, 0.27327431798738644, 0.20014368889313516]
[229, '2023-07-25', '14:22:30', '1690294950.65535', 3.416327e-05, 0.07680363234487686, 0.3597167210314609, 0.7723905381023286]
[230, '2023-07-25', '14:41:08', '1690296068.543332', 3.425786e-05, -0.1998600226394558, 0.31464116533783226, 0.39813829758828945]
[231, '2023-07-25', '15:25:52', '1690298752.738792', 3.425964e-05, 0.08724347589529202, 0.3094616258474616, 0.4405212254829536]
[232, '2023-07-25', '15:43:45', '1690299825.045856', 3.425602e-05, 0.0978006264846556, 0.2657667128613639, 0.45104104744149254]
[233, '2023-07-25', '16:29:00', '1690302540.616831', 3.422821e-05, 0.09697258966467359, 0.34673376705258363, 0.425068233826039]
[234, '2023-07-25', '16:46:19', '1690303579.028256', 3.4235229999999996e-05, 0.07648307962543299, 0.4005392968363424, 0.404646014230039]
[235, '2023-07-25', '17:31:58', '1690306318.920666', 3.419189e-05, 0.11188895014538502, 0.5266269739711049, 0.42861640565723746]
[236, '2023-07-25', '17:48:53', '1690307333.706582', 3.419606e-05, 0.09970672146258153, 0.22333465857070678, 0.4164728046574595]
[237, '2023-07-25', '18:34:45', '1690310085.027371', 3.4160839999999996e-05, 0.008050676078823926, 0.3260989581223299, 0.45367220442767575]
[238, '2023-07-25', '18:51:28', '1690311088.057193', 3.418241e-05, -0.05508671594424186, 0.34386900267452347, 0.39081618886859815]
[239, '2023-07-25', '19:37:20', '1690313840.982381', 3.422233e-05, 0.12218293761169718, 0.22748537877518515, 0.4627038687716407]
[240, '2023-07-25', '19:54:01', '1690314841.607863', 3.4242410000000003e-05, 0.06357948873453267, 0.3521432251452694, 0.4043002210271709]
[241, '2023-07-25', '20:39:57', '1690317597.563248', 3.423057e-05, 0.08314415122910646, 0.38659847009485304, 0.38518493656815167]
[242, '2023-07-25', '20:56:34', '1690318594.263045', 3.422037e-05, 0.11291730223587138, 0.3028059761749944, 0.41486808568447486]
[243, '2023-07-25', '21:42:28', '1690321348.671358', 3.42123e-05, 0.12715780970489732, 0.3263170123143624, 0.4932536683183173]
[244, '2023-07-25', '21:59:10', '1690322350.023291', 3.423267e-05, 0.06769352944850482, 0.3379153097979781, 0.434007361499539]
[245, '2023-07-26', '01:52:26', '1690336346.933146', 3.434398e-05, 0.06630475346315734, 0.31600127541837253, 0.37801928361155035]
[246, '2023-07-26', '02:10:22', '1690337422.839222', 3.433528e-05, 0.09161990763705319, 0.24067760802262228, 0.4032554744150616]
[247, '2023-07-26', '02:55:00', '1690340100.019904', 3.4296470000000004e-05, -0.1852408363981226, 0.35343799040578006, -0.06400486011395401]
[248, '2023-07-26', '03:13:38', '1690341218.047339', 3.4125790000000004e-05, 0.3133415805665578, 0.5341984146261325, 0.43397421322872276]
[249, '2023-07-26', '03:57:40', '1690343860.950768', 3.42068e-05, 0.15555008031559225, 0.29808008340418723, 0.44459135962016205]
[250, '2023-07-26', '04:17:03', '1690345023.082354', 3.422796e-05, 0.09378725654077869, 0.3387358659955879, 0.38300733402201104]
[251, '2023-07-26', '05:20:25', '1690348825.037088', 3.424514e-05, 0.11742258048344922, 0.17314721196788696, 0.38050670364015104]
[252, '2023-07-26', '06:02:28', '1690351348.460097', 3.421071e-05, 0.08237819355692011, 0.2735129439079884, 0.48066395673338036]
[253, '2023-07-26', '06:23:16', '1690352596.671343', 3.4206269999999996e-05, 0.09534589404664473, 0.4199503482700351, 0.3906898720495633]
[254, '2023-07-26', '07:04:41', '1690355081.896098', 3.4256590000000006e-05, 0.08061199641097971, 0.2734605936584842, 0.24415707307323942]
[255, '2023-07-26', '07:26:17', '1690356377.792725', 3.426651e-05, 0.0516774080880964, 0.28113471482801344, 0.38628225159294516]
[256, '2023-07-26', '08:07:09', '1690358829.121866', 3.426369e-05, 0.07634499946728113, 0.28934118814858323, 0.39448007168172694]
