,timestamp,tvl usd value,date
0,1690966800,25600789.07002849069752473604905138,2023-08-02 12:00:00
1,1690963200,25722531.89281153012206406452916057,2023-08-02 11:00:00
2,1690959600,25915534.1998093047977891051840753,2023-08-02 10:00:00
3,1690956000,25829916.13860098768022499171473104,2023-08-02 09:00:00
4,1690952400,25762764.12066588878035284185513305,2023-08-02 08:00:00
5,1690948800,25706291.68232389714931479779206172,2023-08-02 07:00:00
6,1690945200,25700523.4015756939904688314883647,2023-08-02 06:00:00
7,1690941600,25795016.45647946900779276505617518,2023-08-02 05:00:00
8,1690938000,25657891.33416681430912991035408492,2023-08-02 04:00:00
9,1690934400,25648686.84058998944506927776252401,2023-08-02 03:00:00
10,1690930800,25168137.71127755131630703367598654,2023-08-02 02:00:00
11,1690927200,25557183.85124789246328872387826963,2023-08-02 01:00:00
12,1690923600,25601621.17606004648925779459045905,2023-08-02 00:00:00
13,1690920000,25497237.31012582478590068517381806,2023-08-01 23:00:00
14,1690916400,25550453.81543001755440729672152787,2023-08-01 22:00:00
15,1690912800,25387961.65007022853750214211788344,2023-08-01 21:00:00
16,1690909200,25585790.0939442860007301141923086,2023-08-01 20:00:00
17,1690905600,25725783.43969483694187020496265556,2023-08-01 19:00:00
18,1690902000,25616859.17714307285166366860538219,2023-08-01 18:00:00
19,1690898400,25574043.50809104374318420169718013,2023-08-01 17:00:00
20,1690894800,25472963.02818340276207481534972264,2023-08-01 16:00:00
21,1690891200,25573335.08992374507347500741139964,2023-08-01 15:00:00
22,1690887600,25686480.65868421164209574114049911,2023-08-01 14:00:00
23,1690884000,25627580.01506764036453930130464248,2023-08-01 13:00:00
24,1690880400,25703040.3119072387979718186085752,2023-08-01 12:00:00
25,1690876800,25647000.36564166199216131830162734,2023-08-01 11:00:00
26,1690873200,25558902.40806417913770967295244007,2023-08-01 10:00:00
27,1690869600,25607411.22723571267161357902620698,2023-08-01 09:00:00
28,1690866000,25573021.67167568577534082541406582,2023-08-01 08:00:00
29,1690862400,25659175.19613242807148335184698492,2023-08-01 07:00:00
30,1690858800,25616263.69824879196694019905545301,2023-08-01 06:00:00
31,1690855200,25751940.16854906897035929809800997,2023-08-01 05:00:00
32,1690851600,25361179.21153668033960017724636597,2023-08-01 04:00:00
33,1690848000,25039275.4907920561690842573871825,2023-08-01 03:00:00
34,1690844400,25186298.12556719968452881389439927,2023-08-01 02:00:00
35,1690840800,25227176.31763320085008826398863713,2023-08-01 01:00:00
36,1690837200,25237249.90910615971627398647540743,2023-08-01 00:00:00
37,1690833600,25262937.44491261671104284956023345,2023-07-31 23:00:00
38,1690830000,25029269.62298882483440750275211904,2023-07-31 22:00:00
39,1690826400,24915397.62392081881055916983748414,2023-07-31 21:00:00
40,1690822800,24967534.30156557072067128073673323,2023-07-31 20:00:00
41,1690819200,25063666.1365114089882287759354014,2023-07-31 19:00:00
42,1690815600,25464952.90865801794888907633873208,2023-07-31 18:00:00
43,1690812000,25426464.85700952252550483224738505,2023-07-31 17:00:00
44,1690808400,25363781.11484554037330387249178898,2023-07-31 16:00:00
45,1690804800,25083903.57301225009739875717237133,2023-07-31 15:00:00
46,1690801200,25261148.28494800766746102491148266,2023-07-31 14:00:00
47,1690797600,25235917.3849734620848908762963842,2023-07-31 13:00:00
48,1690794000,25295058.70905607546703570197798383,2023-07-31 12:00:00
49,1690790400,25314045.56501200489856122701806392,2023-07-31 11:00:00
50,1690786800,25389356.38773213698387918427439816,2023-07-31 10:00:00
51,1690783200,25409925.07635381608248973066921068,2023-07-31 09:00:00
52,1690779600,25448414.10413567944233631888857928,2023-07-31 08:00:00
53,1690776000,25427981.64588896846994147727306633,2023-07-31 07:00:00
54,1690772400,25276915.13220566505613321796613702,2023-07-31 06:00:00
55,1690768800,25236347.12422956188289861448924417,2023-07-31 05:00:00
56,1690765200,25015525.17177684098092861188331758,2023-07-31 04:00:00
57,1690761600,24980887.15857843588567332795844287,2023-07-31 03:00:00
58,1690758000,25226191.69529956135024400374994357,2023-07-31 02:00:00
59,1690754400,25375475.41224763054273899900699015,2023-07-31 01:00:00
60,1690750800,25159475.96841902638375336335156414,2023-07-31 00:00:00
61,1690747200,25185849.98713990426415818323400231,2023-07-30 23:00:00
62,1690743600,25316870.7157873800311376543485208,2023-07-30 22:00:00
63,1690740000,24919259.05105060748024715848405426,2023-07-30 21:00:00
64,1690736400,24913218.20754775320488994576996721,2023-07-30 20:00:00
65,1690732800,24905840.71484764431165584219513337,2023-07-30 19:00:00
66,1690729200,24924038.57842875370881221629446718,2023-07-30 18:00:00
67,1690725600,24653859.62263062609306107324158735,2023-07-30 17:00:00
68,1690722000,25055477.06388676373047783538489169,2023-07-30 16:00:00
69,1690718400,24909574.1511263328625768664774356,2023-07-30 15:00:00
70,1690714800,24986257.02261241535599535533241554,2023-07-30 14:00:00
71,1690711200,25007694.54284438857136640469200773,2023-07-30 13:00:00
72,1690707600,25067771.29251802444772587262545411,2023-07-30 12:00:00
73,1690704000,25033900.77756133922196086785794113,2023-07-30 11:00:00
74,1690700400,25008886.35768183118252991560678794,2023-07-30 10:00:00
75,1690696800,25066603.64490450479797804617447989,2023-07-30 09:00:00
76,1690693200,25060303.35782477018065739743919536,2023-07-30 08:00:00
77,1690689600,24918128.38364714135696615015806574,2023-07-30 07:00:00
78,1690686000,24927551.35136908367802577248518282,2023-07-30 06:00:00
79,1690682400,24941952.01357807102534216928136227,2023-07-30 05:00:00
80,1690678800,24931627.68098479540063501399903027,2023-07-30 04:00:00
81,1690675200,24809040.59064393641487624123868985,2023-07-30 03:00:00
82,1690671600,24782191.88381649191112688033613272,2023-07-30 02:00:00
83,1690668000,24759060.57498585067175814940547818,2023-07-30 01:00:00
84,1690664400,24650721.06112735409003289940143176,2023-07-30 00:00:00
85,1690660800,24527686.9239079209203222555972692,2023-07-29 23:00:00
86,1690657200,24877088.19543115474946633668313676,2023-07-29 22:00:00
87,1690653600,25019502.43660481852973913476159661,2023-07-29 21:00:00
88,1690650000,24922124.19964745058312684414375216,2023-07-29 20:00:00
89,1690646400,25133132.94663098877784325716660966,2023-07-29 19:00:00
90,1690642800,25113511.28030566650537105398811071,2023-07-29 18:00:00
91,1690639200,25063555.36414316445637486909295169,2023-07-29 17:00:00
92,1690635600,25029256.93127411288862367088684126,2023-07-29 16:00:00
93,1690632000,25028649.70210763024709911752429074,2023-07-29 15:00:00
94,1690628400,25070013.98504684849715609478860113,2023-07-29 14:00:00
95,1690624800,25116859.03609890134141247763230803,2023-07-29 13:00:00
96,1690621200,25103817.98150236300295561048411119,2023-07-29 12:00:00
97,1690617600,25095910.05599061629106630933577584,2023-07-29 11:00:00
98,1690614000,25098860.05322741410917508024452298,2023-07-29 10:00:00
99,1690610400,25024495.27837817208740285980387645,2023-07-29 09:00:00
100,1690606800,25010034.08968947060472432145399247,2023-07-29 08:00:00
101,1690603200,24885669.84010339157526389146277687,2023-07-29 07:00:00
102,1690599600,24998795.72631012630431534425309286,2023-07-29 06:00:00
103,1690596000,24971731.48757069100810126819623114,2023-07-29 05:00:00
104,1690592400,24832117.3627095450044761892375514,2023-07-29 04:00:00
105,1690588800,24980709.02403706908615010218435465,2023-07-29 03:00:00
106,1690585200,24960504.791948614698297659661546,2023-07-29 02:00:00
107,1690581600,24874931.79072258019886933309108748,2023-07-29 01:00:00
108,1690578000,24904649.55515323881439950321609744,2023-07-29 00:00:00
109,1690574400,24969103.0001398654870695698868081,2023-07-28 23:00:00
110,1690570800,24969362.1129078861120433744065098,2023-07-28 22:00:00
111,1690567200,24923947.89075932051259429003021333,2023-07-28 21:00:00
112,1690563600,25088621.45956317884568382112049197,2023-07-28 20:00:00
113,1690560000,24920516.80270156941717071143244475,2023-07-28 19:00:00
114,1690556400,25095470.92343540598148480408117448,2023-07-28 18:00:00
115,1690552800,25130173.33951930579422877394040021,2023-07-28 17:00:00
116,1690549200,25125365.37764445949510345263439893,2023-07-28 16:00:00
117,1690545600,25039976.86836141864263467124078296,2023-07-28 15:00:00
118,1690542000,25161394.63541220041521058232288837,2023-07-28 14:00:00
119,1690538400,25166288.48028183760288559069950724,2023-07-28 13:00:00
120,1690534800,25125614.73596215118969948870518574,2023-07-28 12:00:00
121,1690531200,25382183.32779463938452866676706435,2023-07-28 11:00:00
122,1690527600,25491342.86362822278742820544652604,2023-07-28 10:00:00
123,1690524000,25577079.97351821655873035710021682,2023-07-28 09:00:00
124,1690520400,25587475.41640244667337499229691242,2023-07-28 08:00:00
125,1690516800,25517305.95404140841519822848512597,2023-07-28 07:00:00
126,1690513200,25641243.8031903681051787199625318,2023-07-28 06:00:00
127,1690509600,25642784.33900790412804950767503416,2023-07-28 05:00:00
128,1690506000,25654478.94660906906927646485274815,2023-07-28 04:00:00
129,1690502400,25680046.51737879594942879988244342,2023-07-28 03:00:00
130,1690498800,25704417.96694571604178626574965168,2023-07-28 02:00:00
131,1690495200,25843946.39184810718793711559413908,2023-07-28 01:00:00
132,1690491600,25617934.77332681376455342747232474,2023-07-28 00:00:00
133,1690488000,25589048.96975607747573459503021921,2023-07-27 23:00:00
134,1690484400,25568564.93152706978830021216475005,2023-07-27 22:00:00
135,1690480800,25532542.98788061505414784090549889,2023-07-27 21:00:00
136,1690477200,25610365.31650157467759470740081731,2023-07-27 20:00:00
137,1690473600,25608112.82237089474781968551899059,2023-07-27 19:00:00
138,1690470000,25558815.25848084982854418365081324,2023-07-27 18:00:00
139,1690466400,25642944.18870380163553674809855507,2023-07-27 17:00:00
140,1690462800,25832665.62735610339876345925322037,2023-07-27 16:00:00
141,1690459200,25784963.46061744735330378649965996,2023-07-27 15:00:00
142,1690455600,25735710.51019519185768753146337602,2023-07-27 14:00:00
143,1690452000,25570512.3820756186456832396366843,2023-07-27 13:00:00
144,1690448400,25365879.83613392320880759020707132,2023-07-27 12:00:00
145,1690444800,25483442.15656934043220227178203462,2023-07-27 11:00:00
146,1690441200,25696309.7288026413055879966945848,2023-07-27 10:00:00
147,1690437600,25623424.94430793455888245879885125,2023-07-27 09:00:00
148,1690434000,25470122.40531963947151238142077597,2023-07-27 08:00:00
149,1690430400,25234076.24974224854504002322019067,2023-07-27 07:00:00
150,1690426800,25234889.11947559148483288291847973,2023-07-27 06:00:00
151,1690423200,25133705.42155949646979423149735163,2023-07-27 05:00:00
152,1690419600,25309421.0318372592332207860805218,2023-07-27 04:00:00
153,1690416000,25344176.26302589994368994459020078,2023-07-27 03:00:00
154,1690412400,25326380.93143959316203467060523659,2023-07-27 02:00:00
155,1690408800,25450546.12816959560993014092607566,2023-07-27 01:00:00
156,1690405200,25677383.54712035195939188924393771,2023-07-27 00:00:00
157,1690401600,25258850.61390913951426518414896683,2023-07-26 23:00:00
158,1690398000,25231213.51816821830599985531159474,2023-07-26 22:00:00
159,1690394400,25317410.75866853949267320594634062,2023-07-26 21:00:00
160,1690390800,25813838.27835246435503666631391605,2023-07-26 20:00:00
161,1690387200,25750169.70397880742852863934444894,2023-07-26 19:00:00
162,1690383600,25821250.65226493387010242781671863,2023-07-26 18:00:00
163,1690380000,26085542.57855257035045240736435745,2023-07-26 17:00:00
164,1690376400,25852332.24249599961765997826123306,2023-07-26 16:00:00
165,1690372800,25864360.87091009426894256709364563,2023-07-26 15:00:00
166,1690369200,25965368.87254968548983406257227816,2023-07-26 14:00:00
167,1690365600,25982113.8923991779601401383329791,2023-07-26 13:00:00
168,1690362000,26043137.2385476213708332435947432,2023-07-26 12:00:00
169,1690358400,25891268.89311872076534275236706711,2023-07-26 11:00:00
170,1690354800,25956024.23410029836579269089547703,2023-07-26 10:00:00
171,1690351200,25838880.21566062312200386212467622,2023-07-26 09:00:00
172,1690347600,25703561.39056288478906374499647619,2023-07-26 08:00:00
173,1690344000,25683338.04998753034992910750164478,2023-07-26 07:00:00
174,1690340400,25488423.83832340585808980694684067,2023-07-26 06:00:00
175,1690336800,25501531.27294960493582528789780323,2023-07-26 05:00:00
176,1690333200,25512918.30687452694065834861017548,2023-07-26 04:00:00
177,1690329600,25545013.28774427614498396012591,2023-07-26 03:00:00
178,1690326000,25562677.37730847589337668178052182,2023-07-26 02:00:00
179,1690322400,25309431.22026896740104623011259963,2023-07-26 01:00:00
180,1690318800,25229940.69172042394979059849350567,2023-07-26 00:00:00
181,1690315200,25257182.92893229418186142949058417,2023-07-25 23:00:00
182,1690311600,25571911.08326680558290585117288872,2023-07-25 22:00:00
183,1690308000,25552792.14947512323187002084203202,2023-07-25 21:00:00
184,1690304400,25588731.98716854662175231364966719,2023-07-25 20:00:00
185,1690300800,25713481.95403631102573794707548168,2023-07-25 19:00:00
186,1690297200,25611082.71695064154469768623116359,2023-07-25 18:00:00
187,1690293600,25722686.56013716195612123859752879,2023-07-25 17:00:00
188,1690290000,25344762.07856780278114974320392736,2023-07-25 16:00:00
189,1690286400,25838766.46253915377591390813239264,2023-07-25 15:00:00
190,1690282800,25902232.73750868098352216998979277,2023-07-25 14:00:00
