['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000', '400 000', '500 000']
[18, '2023-07-20', '08:30:21', '1689841821.907303', 0.000522937545278425, -0.1144266985307496, 0.1323470165256424, 0.23070545876977633, 0.2764419246944101, 0.3344462893360145]
[19, '2023-07-20', '09:07:23', '1689844043.17408', 0.000522438743131302, -0.018932903055372208, 0.058233149065245016, 0.08657320030316384, 0.3715628915016822, 0.26509701219688964]
[20, '2023-07-20', '09:33:29', '1689845609.468542', 0.000521952052443546, -0.07949568482489155, 0.15133636524844007, 0.17965001561313443, 0.13588595802832515, 0.3580075192497958]
[21, '2023-07-20', '10:10:42', '1689847842.015333', 0.0005205848047989336, 0.18266145031518022, -0.05574975520511316, -0.035917493528003774, 0.39747890333045177, 0.17496045189120935]
[22, '2023-07-20', '10:37:07', '1689849427.354425', 0.0005196288941548363, 0.2991808269311633, 0.1279750775454005, 0.14777092273500614, 0.2582423477762603, 0.35826164887548373]
[23, '2023-07-20', '11:14:06', '1689851646.176876', 0.0005208790220366408, 0.0593196966340912, 0.10053526883351083, 0.19242536773353436, 0.018282727316659475, 0.2947766171865567]
[24, '2023-07-20', '11:40:37', '1689853237.575295', 0.0005207906048440681, 0.025567946558098242, 0.11749281528355482, 0.20936731619589466, 0.2892173227465378, 0.3117011919215287]
[25, '2023-07-20', '12:17:26', '1689855446.970511', 0.00052079409791361, 0.02489739367113941, 0.2654262612815046, 0.2878369176287805, 0.288548538220212, 0.4084300038683324]
[26, '2023-07-20', '12:44:18', '1689857058.471394', 0.000521501962763684, 0.1215312815536862, 0.12986673906422652, 0.15230785604067876, 0.2473169667176478, 0.27306485275320824]
[27, '2023-07-20', '13:20:36', '1689859236.865557', 0.0005225532904643758, -0.07981983189159791, -0.1484928194096824, -0.06252889744456525, 0.04621943232785952, 0.07967704651319707]
[28, '2023-07-20', '13:48:00', '1689860880.167319', 0.0005211290354674476, 0.12696125865420527, 0.12446879797121824, 0.21019841934412398, 0.25249073383152165, 0.3520167712036937]
[29, '2023-07-20', '14:23:38', '1689863018.627811', 0.0005230574451671829, -0.24261349835023793, 1.5503187560475595, 1.0186481140803636, -0.11661950816598221, 1.4452480149319769]
[30, '2023-07-20', '14:51:52', '1689864712.641309', 0.0005304908731618759, -0.2965372808907034, 0.1512016544957504, -0.38802482186491716, 0.08621961678655055, 0.0446377011228094]
[31, '2023-07-20', '15:26:24', '1689866784.511339', 0.0005283211061995526, 0.11368676637786734, 0.45595979591415414, 0.45599683759050436, 0.49487814556422904, 0.6816050333710137]
[32, '2023-07-20', '15:55:39', '1689868539.483326', 0.0005299084519626862, -0.11645953369337292, 0.15687878512547115, 0.15691593809388849, 0.2942184527998535, 0.38320197583357185]
[33, '2023-07-20', '16:59:37', '1689872377.997273', 0.0005309989371832806, -0.17422641130643512, 0.16461851413728823, 0.15577481138889482, 0.08903644299735447, 0.31329809942410236]
[34, '2023-07-20', '17:31:36', '1689874296.460649', 0.0005302650868653856, -0.03578378412005634, 0.30259285139153747, -0.06603068484298547, 0.3591969000885342, 0.07705195011230614]
[35, '2023-07-20', '18:03:35', '1689876215.435969', 0.0005294090601804429, 0.08277467014896445, 0.15848238247110658, 0.09550963648740662, 0.3079654702412, 0.2383612878144845]
[36, '2023-07-20', '18:34:12', '1689878052.864706', 0.0005302268441095748, -0.07156855376634041, 0.004256105081864803, 0.1786484459455835, 0.1539701010022867, 0.451031390682175]
[37, '2023-07-20', '19:07:12', '1689880032.070737', 0.0005309149365661995, 0.02203991895275692, 0.1523361319508183, 0.04910706233310691, 0.27988565014752, 0.321843487191785]
[38, '2023-07-20', '19:36:46', '1689881806.342437', 0.0005303328804315245, 0.13164840986063098, 0.2618017756625335, 0.16400173585209643, 0.38921145793743506, 0.33231065583835573]
[39, '2023-07-20', '20:10:28', '1689883828.583441', 0.0005303599592268158, 0.15138431461781465, 0.184754227837999, 0.1589041100788222, 0.33969921118625734, 0.3272216239180352]
[40, '2023-07-20', '20:39:26', '1689885566.111306', 0.0005311886635241994, -0.004632321756659508, 0.02878973301379517, 0.033708698422643124, 0.1839768228245191, 0.12618516903953036]
[41, '2023-07-20', '21:13:06', '1689887586.58425', 0.00052923694255423, -0.08040286996325108, 0.10653036562636942, 0.40101003676242897, 0.2503782953936593, 0.49314672552905847]
[42, '2023-07-21', '02:55:34', '1689908134.912095', 0.0005270883184977062, 0.03600661117462778, 0.10500228128717026, 0.14817429171480967, 0.23714541496001118, 0.3240576631875456]
[43, '2023-07-21', '03:29:24', '1689910164.662616', 0.0005270706314992199, 0.10087709030376857, 0.1990921179730094, 0.15152492391092665, 0.3316552787814686, 0.32740239343361566]
