['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000', '400 000', '500 000']
[46, '2023-07-21', '05:01:00', '1689915660.838522', 0.0005273195222292645, -0.07370173610256359, -0.16935466624005358, -0.12208110274340811, -0.2937667858224273, -0.19605155183910483]
[47, '2023-07-21', '05:34:52', '1689917692.782721', 0.0005280042622385068, 0.016987783543115142, -0.08248642607530599, -0.25209258885304564, -0.21194370777382687, -0.32615909076656635]
[48, '2023-07-21', '06:03:38', '1689919418.362598', 0.0005281955538221382, -0.019235236062883132, -0.11874548436594523, -0.24735417446501629, -0.24824966736848353, -0.3711740581991023]
[49, '2023-07-21', '06:37:28', '1689921448.752501', 0.0005281037836160529, -0.03956056619283288, -0.14094984124781718, -0.22993691245756054, -0.27325831104964493, -0.3537352833709235]
[50, '2023-07-21', '07:06:13', '1689923173.963559', 0.000528120855274696, -0.04279447831724781, -0.14418703091567409, -0.0995966141049962, -0.2764997777651246, -0.12206868476927468]
[51, '2023-07-21', '07:40:03', '1689925203.187424', 0.0005292451898291908, -0.07439570158135211, -0.15482822811237895, -0.3127020694949323, -0.2770929166449463, -0.3352219817191582]
[52, '2023-07-21', '08:08:45', '1689926925.577214', 0.0005290425715583576, -0.03608283374353505, -0.11648456717568934, -0.2926903764185482, -0.2387024474230799, -0.4243597259685856]
[53, '2023-07-21', '08:42:40', '1689928960.168841', 0.0005284748475477323, -0.04171496850418066, -0.14405873333802788, -0.1850646928196369, -0.26740680914473103, -0.3165927458933169]
[54, '2023-07-21', '09:11:31', '1689930691.795297', 0.0005284306437829943, -0.03334707653547753, -0.13568228092464096, -0.19644701832577027, -0.25902003940149143, -0.31921338002446475]
[55, '2023-07-21', '09:45:21', '1689932721.025629', 0.0005286972507646319, 0.15509730158166235, 0.04719880425032841, -0.2469987276648169, -0.05807873655164997, -0.36982702818087887]
[56, '2023-07-21', '10:14:48', '1689934488.259313', 0.0005297168258206728, -0.037450270997752, -0.14555684699092808, -0.28959486623215014, -0.25103741202728713, -0.4147116897276817]
[57, '2023-07-21', '10:47:57', '1689936477.816722', 0.0005291925302894115, 0.013237261287756041, -0.08279422103326795, -0.19033166775075472, -0.22023105380819175, -0.31532465490913353]
[58, '2023-07-21', '11:18:21', '1689938301.9483', 0.0005294554743165179, -0.0364439427108465, -0.132523140944798, -0.16391842051476146, -0.2700282630326143, -0.29555764729039424]
[59, '2023-07-21', '12:21:35', '1689942095.56054', 0.0005289818011146732, -0.04019265953556328, -0.13001853260465168, -0.07430755378643994, -0.2649465140816716, -0.20582901055674085]
[60, '2023-07-21', '12:53:10', '1689943990.076411', 0.0005275445842207624, 0.23161150207718606, -0.13994118755053364, -0.18190212749118473, -0.2613961167015617, -0.34426653225730774]
[61, '2023-07-21', '13:24:44', '1689945884.511325', 0.0005276252865309889, -0.03714069830783728, -0.15526031856146005, 0.0075776312426683035, -0.2767338275513538, -0.1355381826555231]
[62, '2023-07-21', '13:55:53', '1689947753.828322', 0.0005289228756339575, -0.2831620831351529, -0.14426802734460864, -0.23833377777678777, -0.2756405112970839, -0.3818015564600614]
[63, '2023-07-21', '14:27:53', '1689949673.000121', 0.0005294387832354702, -0.06236994870866397, -0.24194803231945627, -0.4691810519119315, -0.3734486560560555, -0.5913889082893036]
[64, '2023-07-21', '14:58:32', '1689951512.319326', 0.0005280944917342672, 0.19169718383166412, -0.09728503879696859, -0.2140809903041685, -0.22406132461529182, -0.33597855021685064]
