,timestamp,tvl usd value,date
87,1690495200,7466383.514375076371194492877659698,2023-07-28 01:00:00
88,1690491600,7544957.249996398370265900753615731,2023-07-28 00:00:00
89,1690488000,7591624.632084150303575620210640039,2023-07-27 23:00:00
90,1690484400,7596811.77351188548578729767669611,2023-07-27 22:00:00
91,1690480800,7594192.895156439353316620780400586,2023-07-27 21:00:00
92,1690477200,7572273.580149658774647052273458416,2023-07-27 20:00:00
93,1690473600,7512237.892063024018834444404183479,2023-07-27 19:00:00
94,1690470000,7515222.493919541949251242811463318,2023-07-27 18:00:00
95,1690466400,7472713.858653077814083088469378515,2023-07-27 17:00:00
96,1690462800,7417475.587035650807587483760185833,2023-07-27 16:00:00
97,1690459200,7413059.2621942277693595665792755,2023-07-27 15:00:00
98,1690455600,7410765.376773088913796584377326405,2023-07-27 14:00:00
99,1690452000,7463034.60800815247778797021306352,2023-07-27 13:00:00
100,1690448400,7523508.578868583126551174792421984,2023-07-27 12:00:00
101,1690444800,7465512.73547884816989182763313352,2023-07-27 11:00:00
102,1690441200,7411644.906933819062111133284476137,2023-07-27 10:00:00
103,1690437600,7481026.493591559628423367852941955,2023-07-27 09:00:00
104,1690434000,7525129.263678713042921642128136745,2023-07-27 08:00:00
105,1690430400,7524126.697756433263155805582988219,2023-07-27 07:00:00
106,1690426800,7526391.781365194133459350197651329,2023-07-27 06:00:00
107,1690423200,7526974.148405011781263748579200263,2023-07-27 05:00:00
108,1690419600,7464167.173863626598660774960195987,2023-07-27 04:00:00
109,1690416000,7507934.579973887590597060738793422,2023-07-27 03:00:00
110,1690412400,7487630.309413065057393254091823579,2023-07-27 02:00:00
111,1690408800,7266382.070363227620144606080958985,2023-07-27 01:00:00
112,1690405200,7250705.7472110278219165348532796,2023-07-27 00:00:00
113,1690401600,7305230.244854626311864292187022881,2023-07-26 23:00:00
114,1690398000,7515699.578931352162000492418021531,2023-07-26 22:00:00
115,1690394400,7499574.516508933902309343385542184,2023-07-26 21:00:00
116,1690390800,7287892.554856573648741239278129231,2023-07-26 20:00:00
117,1690387200,7295750.129422734314232335755161247,2023-07-26 19:00:00
