['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000', '400 000', '500 000']
[38, '2023-07-20', '19:36:46', '1689881806.342437', 3.359857e-05, 0.018618753898763885, -0.15730747240684195, -0.3926674732093147, -0.38044650727073304, -0.5993620162449673]
[39, '2023-07-20', '20:10:28', '1689883828.583441', 3.359986e-05, 0.03174302909661719, -0.22576215454738247, -0.3965219985965831, -0.4429883824069094, -0.6032244775640407]
[40, '2023-07-20', '20:39:26', '1689885566.111306', 3.365533e-05, -0.13329453993418383, -0.39122483881787673, -0.5293127817249967, -0.6088096853995921, -0.7812544936380164]
[41, '2023-07-20', '21:13:06', '1689887586.58425', 3.3571499999999995e-05, -0.24077552712272166, -0.2931167649291524, -0.2789104742601154, -0.5094365768637061, -0.5302246399951542]
[42, '2023-07-21', '02:55:34', '1689908134.912095', 3.342929e-05, -0.11963577218365629, -0.3058279529901, -0.4421424011045758, -0.5129983603931265, -0.6124126221251487]
[43, '2023-07-21', '03:29:24', '1689910164.662616', 3.341296e-05, -0.03999029521409625, -0.20419496923864244, -0.39307703999728005, -0.41526848156583185, -0.5632640850751613]
[44, '2023-07-21', '03:58:17', '1689911897.855338', 3.342435e-05, -0.07409249655940187, -0.23835314560793108, -0.23176573847351278, -0.44949860987549073, -0.44407065494674214]
[45, '2023-07-21', '04:32:11', '1689913931.025209', 3.347324e-05, -0.1706321000771851, -0.34734989264683236, -0.3783753517331263, -0.5565139643451573, -0.59099080789872]
[46, '2023-07-21', '05:01:00', '1689915660.838522', 3.345213e-05, -0.10745918811429078, -0.28406553307382865, -0.3034803153475849, -0.4930976948179904, -0.4741959344486304]
[47, '2023-07-21', '05:34:52', '1689917692.782721', 3.3498e-05, -0.02376288464353138, -0.2356325833353594, -0.44101776489308975, -0.46181688115393627, -0.6119674714931307]
[48, '2023-07-21', '06:03:38', '1689919418.362598', 3.351248e-05, -0.06699961777891872, -0.2789609002440443, -0.4452744295416835, -0.505242969530542, -0.656388895893997]
[49, '2023-07-21', '06:37:28', '1689921448.752501', 3.349038e-05, -0.05880965247928316, -0.27068721472271307, -0.37903520866358065, -0.4927563938713462, -0.5900104543522389]
[50, '2023-07-21', '07:06:13', '1689923173.963559', 3.349605e-05, -0.07574984398291917, -0.2876632775953283, -0.2401900519564606, -0.5097700535776113, -0.4659286445046291]
[51, '2023-07-21', '07:40:03', '1689925203.187424', 3.3566449999999994e-05, -0.1305199311503884, -0.34986103721635686, -0.45086890452733996, -0.56153438930005, -0.6770819409850333]
[52, '2023-07-21', '08:08:45', '1689926925.577214', 3.3566690000000004e-05, -0.1312358640174125, -0.3505785383715363, -0.538679881964768, -0.5622534039189588, -0.7445650662452294]
[53, '2023-07-21', '08:42:40', '1689928960.168841', 3.352711e-05, -0.06752170198862473, -0.2765177142648838, -0.42013018434106186, -0.5057068176627411, -0.6257726001032751]
[54, '2023-07-21', '09:11:31', '1689930691.795297', 3.354027e-05, -0.1068000228936512, -0.3158780699030359, -0.4341323751154391, -0.5451571341892816, -0.6527521508950684]
[55, '2023-07-21', '09:45:21', '1689932721.025629', 3.353486e-05, -0.003834962536345188, -0.22567218580779524, -0.4179324859628224, -0.44232087961489697, -0.6365169986695207]
[56, '2023-07-21', '10:14:48', '1689934488.259313', 3.356535e-05, -0.09475876326214916, -0.31679768163348854, -0.4942574305851366, -0.5336433531132059, -0.7229931790848241]
[57, '2023-07-21', '10:47:57', '1689936477.816722', 3.353274e-05, -0.04227925174585323, -0.25359515878024297, -0.396623479656256, -0.4912850630018397, -0.625137002772945]
[58, '2023-07-21', '11:18:21', '1689938301.9483', 3.354314e-05, -0.07330682969558211, -0.28468827522854667, -0.36110859062729617, -0.5224518977029362, -0.5908358299101906]
[59, '2023-07-21', '12:21:35', '1689942095.56054', 3.353537e-05, -0.10359017751605393, -0.2889468074551189, -0.3378607428185205, -0.509932723818622, -0.5675347676244797]
[60, '2023-07-21', '12:53:10', '1689943990.076411', 3.345894e-05, 0.12455453647599768, -0.28362161681765485, -0.3896953799912666, -0.4933800858305517, -0.6080917442079965]
[61, '2023-07-21', '13:24:44', '1689945884.511325', 3.344904e-05, -0.06492410571161145, -0.2539491928255444, -0.18421825706121808, -0.46364559744418443, -0.41052115101885533]
[62, '2023-07-21', '13:55:53', '1689947753.828322', 3.353095e-05, -0.30996306448287214, -0.3831806043119883, -0.42954934331767447, -0.6061770487582123, -0.6564064077401213]
[63, '2023-07-21', '14:27:53', '1689949673.000121', 3.352641e-05, -0.10054120391954768, -0.3695889929814484, -0.5545341080866422, -0.5925552443118391, -0.7580727579192654]
[64, '2023-07-21', '14:58:32', '1689951512.319326', 3.347932e-05, 0.04005644686657206, -0.29110413737603835, -0.4132987950558089, -0.5053321161724114, -0.6165515617586692]
[65, '2023-07-21', '15:30:41', '1689953441.719846', 3.347345e-05, -0.09824645528595966, -0.27351988592511134, -0.37758533429934005, -0.4877103036767636, -0.591620189573419]
[66, '2023-07-21', '16:01:03', '1689955263.42333', 3.346246e-05, -0.06538220829186514, -0.18608706563554733, -0.344629374790415, -0.39245614375997206, -0.5585939581606567]
[67, '2023-07-21', '16:33:21', '1689957201.807265', 3.351383e-05, -0.16875325429050747, -0.3398880501585495, -0.4701257682564375, -0.5465739364179285, -0.6841566106240435]
[68, '2023-07-21', '17:03:41', '1689959021.091357', 3.349219e-05, -0.10407393174146762, -0.428935300625227, -0.40525184839631834, -0.6454690241680083, -0.6191444902828493]
[69, '2023-07-21', '17:35:57', '1689960957.290172', 3.343613e-05, -0.08745674780000456, -0.26083503268357333, -0.734832681150948, -0.477006317086321, -0.921985092739817]
[70, '2023-07-21', '18:06:33', '1689962793.399333', 3.3311630000000003e-05, 0.28522060346944045, -0.19298236340146957, -0.3597448145586384, -0.38403467250996925, -0.5462003609528097]
[71, '2023-07-21', '18:38:38', '1689964718.628356', 3.328287e-05, -0.049703701358112085, -0.10647953622752482, -0.057917154578959185, -0.2973668980065298, -0.14834693189386883]
[72, '2023-07-21', '19:09:52', '1689966592.027295', 3.344216e-05, -0.5285361248416791, -0.23450617030395904, -0.5367888872015811, -0.44833701664543923, -0.6276514564971194]
[73, '2023-07-21', '19:41:23', '1689968483.199283', 3.345302e-05, -0.0728266974386571, -0.26705630274186376, -0.2906900313732024, -0.48095658846736455, -0.5490748060846329]
[74, '2023-07-21', '20:13:14', '1689970394.867314', 3.346533e-05, -0.10965136966990485, -0.30048262668684345, -0.32759487267858844, -0.5123457801803823, -0.5860747274927149]
[75, '2023-07-21', '20:44:07', '1689972247.897552', 3.3456270000000005e-05, -0.08961143017010897, -0.2733284832016949, -0.4323852063213991, -0.4851342794192135, -0.6309992785847953]
